param_model__C,param_model__gamma,mean_test_score,std_test_score,mean_fit_time
0.1,scale,0.9377145618934251,0.018035401330066425,0.11598925590515137
0.1,0.01,0.9420777052286757,0.014346509073382314,0.11564650535583496
0.1,0.1,0.9341348980971171,0.015686790810568795,0.06670904159545898
1.0,scale,0.9669402274244406,0.015965597957213588,0.029169511795043946
1.0,0.01,0.9690407749147297,0.01628269880928693,0.019940614700317383
1.0,0.1,0.9533230330206756,0.012853369084693056,0.04044709205627441
10.0,scale,0.9670861669558555,0.013638400817014744,0.022919893264770508
10.0,0.01,0.9738878509919948,0.01767667524460028,0.01870388984680176
10.0,0.1,0.9375316134071167,0.023718217533153528,0.02612414360046387
