model,f1_macro,recall_macro,fit_median_s,predict_ms,size_kb,is_pareto
logistic,0.7987213443067825,0.7982771677394926,0.018973700003698468,4.202000010991469,5.681640625,True
svm_c1,0.8156167146800017,0.8096838318818629,0.3223627999832388,34.13359998376109,272.537109375,False
svm_c10,0.8116694165291736,0.8075776221128361,0.5430102999962401,32.05319997505285,285.474609375,False
rf_100,0.919494621902536,0.9114445285876562,0.1851545000099577,58.32949999603443,1408.4638671875,True
rf_300,0.9328141150453114,0.9264009844755774,0.44672409998020157,48.464099992997944,4130.6513671875,False
boost,0.9436904761904762,0.9410497917455509,0.2963997999904677,7.100299990270287,358.376953125,True
